Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	0.028297469	0.036382460	738.0	6568.3
1	Spectrogram 1	1	0.028297469	0.036382460	738.0	6568.3
2	Waveform 1	1	0.073438669	0.078828664	0.0	19852.4
2	Spectrogram 1	1	0.073438669	0.078828664	0.0	19852.4
3	Waveform 1	1	0.097693643	0.104431135	0.0	19409.6
3	Spectrogram 1	1	0.097693643	0.104431135	0.0	19409.6
4	Waveform 1	1	0.229074749	0.236485991	0.0	19409.6
4	Spectrogram 1	1	0.229074749	0.236485991	0.0	19409.6
5	Waveform 1	1	0.258692080	0.267743921	0.0	19483.4
5	Spectrogram 1	1	0.258692080	0.267743921	0.0	19483.4
6	Waveform 1	1	0.282512714	0.286324015	0.0	19704.8
6	Spectrogram 1	1	0.282512714	0.286324015	0.0	19704.8
7	Waveform 1	1	0.298710745	0.305380522	0.0	18155.0
7	Spectrogram 1	1	0.298710745	0.305380522	0.0	18155.0
8	Waveform 1	1	0.310144649	0.315385188	0.0	19557.2
8	Spectrogram 1	1	0.310144649	0.315385188	0.0	19557.2
9	Waveform 1	1	0.331106807	0.341111473	0.0	19704.8
9	Spectrogram 1	1	0.331106807	0.341111473	0.0	19704.8
10	Waveform 1	1	0.411144135	0.419719563	590.4	6125.5
10	Spectrogram 1	1	0.411144135	0.419719563	590.4	6125.5
11	Waveform 1	1	0.531676541	0.540251969	1254.6	5756.5
11	Spectrogram 1	1	0.531676541	0.540251969	1254.6	5756.5
12	Waveform 1	1	0.571695133	0.581699799	0.0	19631.0
12	Spectrogram 1	1	0.571695133	0.581699799	0.0	19631.0
13	Waveform 1	1	0.595039353	0.601232718	0.0	19262.0
13	Spectrogram 1	1	0.595039353	0.601232718	0.0	19262.0
14	Waveform 1	1	0.720812299	0.727005663	0.0	19631.0
14	Spectrogram 1	1	0.720812299	0.727005663	0.0	19631.0
15	Waveform 1	1	0.737010329	0.741774456	0.0	16310.0
15	Spectrogram 1	1	0.737010329	0.741774456	0.0	16310.0
16	Waveform 1	1	0.856113497	0.861354037	0.0	18893.0
16	Spectrogram 1	1	0.856113497	0.861354037	0.0	18893.0
17	Waveform 1	1	0.875646417	0.887080321	0.0	19704.8
17	Spectrogram 1	1	0.875646417	0.887080321	0.0	19704.8
18	Waveform 1	1	1.032862598	1.039532376	0.0	19409.6
18	Spectrogram 1	1	1.032862598	1.039532376	0.0	19409.6
19	Waveform 1	1	1.060957165	1.067150530	0.0	19704.8
19	Spectrogram 1	1	1.060957165	1.067150530	0.0	19704.8
20	Waveform 1	1	1.077631609	1.084301386	0.0	17859.8
20	Spectrogram 1	1	1.077631609	1.084301386	0.0	17859.8
21	Waveform 1	1	1.101452242	1.109074845	0.0	19483.4
21	Spectrogram 1	1	1.101452242	1.109074845	0.0	19483.4
22	Waveform 1	1	1.138136018	1.146711446	0.0	7011.1
22	Spectrogram 1	1	1.138136018	1.146711446	0.0	7011.1
23	Waveform 1	1	1.196734777	1.202451729	0.0	19631.0
23	Spectrogram 1	1	1.196734777	1.202451729	0.0	19631.0
24	Waveform 1	1	1.425412859	1.431606224	0.0	19483.4
24	Spectrogram 1	1	1.425412859	1.431606224	0.0	19483.4
25	Waveform 1	1	1.444945778	1.456379683	0.0	19631.0
25	Spectrogram 1	1	1.444945778	1.456379683	0.0	19631.0
26	Waveform 1	1	1.574053612	1.580246977	0.0	19924.5
26	Spectrogram 1	1	1.574053612	1.580246977	0.0	19924.5
27	Waveform 1	1	1.598350659	1.605020436	0.0	19849.1
27	Spectrogram 1	1	1.598350659	1.605020436	0.0	19849.1
28	Waveform 1	1	1.753661109	1.759378061	226.4	19773.6
28	Spectrogram 1	1	1.753661109	1.759378061	226.4	19773.6
29	Waveform 1	1	1.769859139	1.776528917	0.0	17584.9
29	Spectrogram 1	1	1.769859139	1.776528917	0.0	17584.9
30	Waveform 1	1	1.838462564	1.846561580	0.0	19547.2
30	Spectrogram 1	1	1.838462564	1.846561580	0.0	19547.2
31	Waveform 1	1	1.867047324	1.874193514	0.0	19245.3
31	Spectrogram 1	1	1.867047324	1.874193514	0.0	19245.3
32	Waveform 1	1	1.911353703	1.919929131	0.0	8452.8
32	Spectrogram 1	1	1.911353703	1.919929131	0.0	8452.8
33	Waveform 1	1	1.944702590	1.950419542	0.0	8150.9
33	Spectrogram 1	1	1.944702590	1.950419542	0.0	8150.9
34	Waveform 1	1	1.951848780	1.958994970	0.0	18717.0
34	Spectrogram 1	1	1.951848780	1.958994970	0.0	18717.0
35	Waveform 1	1	1.972810937	1.980433540	0.0	19094.3
35	Spectrogram 1	1	1.972810937	1.980433540	0.0	19094.3
36	Waveform 1	1	2.069046297	2.073810424	0.0	19849.1
36	Spectrogram 1	1	2.069046297	2.073810424	0.0	19849.1
37	Waveform 1	1	2.092866931	2.098107470	0.0	19547.2
37	Spectrogram 1	1	2.092866931	2.098107470	0.0	19547.2
38	Waveform 1	1	2.177191973	2.181003275	1509.4	8754.7
38	Spectrogram 1	1	2.177191973	2.181003275	1509.4	8754.7
39	Waveform 1	1	2.218163463	2.229597367	981.1	5811.3
39	Spectrogram 1	1	2.218163463	2.229597367	981.1	5811.3
40	Waveform 1	1	2.470078640	2.477701243	754.7	17886.8
40	Spectrogram 1	1	2.470078640	2.477701243	754.7	17886.8
41	Waveform 1	1	2.489611560	2.499139813	301.9	19018.9
41	Spectrogram 1	1	2.489611560	2.499139813	301.9	19018.9
42	Waveform 1	1	2.501998289	2.507715241	0.0	19849.1
42	Spectrogram 1	1	2.501998289	2.507715241	0.0	19849.1
43	Waveform 1	1	2.517243494	2.524389685	528.3	19547.2
43	Spectrogram 1	1	2.517243494	2.524389685	528.3	19547.2
44	Waveform 1	1	2.599186474	2.604903426	0.0	19924.5
44	Spectrogram 1	1	2.599186474	2.604903426	0.0	19924.5
45	Waveform 1	1	2.623483520	2.630153298	0.0	19018.9
45	Spectrogram 1	1	2.623483520	2.630153298	0.0	19018.9
46	Waveform 1	1	2.707332150	2.714954753	0.0	19860.6
46	Spectrogram 1	1	2.707332150	2.714954753	0.0	19860.6
47	Waveform 1	1	2.734011260	2.742586688	0.0	19512.2
47	Spectrogram 1	1	2.734011260	2.742586688	0.0	19512.2
48	Waveform 1	1	2.777364813	2.781176114	905.9	8989.5
48	Spectrogram 1	1	2.777364813	2.781176114	905.9	8989.5
49	Waveform 1	1	2.810713700	2.817859890	557.5	6480.8
49	Spectrogram 1	1	2.810713700	2.817859890	557.5	6480.8
50	Waveform 1	1	2.982222262	2.987462801	0.0	18466.9
50	Spectrogram 1	1	2.982222262	2.987462801	0.0	18466.9
51	Waveform 1	1	3.002134623	3.008804400	0.0	19581.9
51	Spectrogram 1	1	3.002134623	3.008804400	0.0	19581.9
52	Waveform 1	1	3.039294811	3.043582525	0.0	12892.0
52	Spectrogram 1	1	3.039294811	3.043582525	0.0	12892.0
53	Waveform 1	1	3.116473664	3.120761378	516.6	19926.2
53	Spectrogram 1	1	3.116473664	3.120761378	516.6	19926.2
54	Waveform 1	1	3.139817885	3.144582012	811.8	19409.6
54	Spectrogram 1	1	3.139817885	3.144582012	811.8	19409.6
55	Waveform 1	1	3.203180770	3.212232611	1623.6	6715.9
55	Spectrogram 1	1	3.203180770	3.212232611	1623.6	6715.9
56	Waveform 1	1	3.246534323	3.253680513	442.8	6568.3
56	Spectrogram 1	1	3.246534323	3.253680513	442.8	6568.3
57	Waveform 1	1	3.479976532	3.484264246	0.0	18966.8
57	Spectrogram 1	1	3.479976532	3.484264246	0.0	18966.8
58	Waveform 1	1	3.499985864	3.506179229	0.0	19483.4
58	Spectrogram 1	1	3.499985864	3.506179229	0.0	19483.4
59	Waveform 1	1	3.526664974	3.535240402	0.0	19631.0
59	Spectrogram 1	1	3.526664974	3.535240402	0.0	19631.0
60	Waveform 1	1	3.555726147	3.564777988	369.0	19040.6
60	Spectrogram 1	1	3.555726147	3.564777988	369.0	19040.6
61	Waveform 1	1	3.597523682	3.603717046	221.4	6715.9
61	Spectrogram 1	1	3.597523682	3.603717046	221.4	6715.9
62	Waveform 1	1	3.639924409	3.645641362	73.8	19704.8
62	Spectrogram 1	1	3.639924409	3.645641362	73.8	19704.8
63	Waveform 1	1	3.625155617	3.628966918	1476.0	18745.4
63	Spectrogram 1	1	3.625155617	3.628966918	1476.0	18745.4
64	Waveform 1	1	3.664221456	3.675655360	0.0	19704.8
64	Spectrogram 1	1	3.664221456	3.675655360	0.0	19704.8
65	Waveform 1	1	3.701858057	3.710433485	0.0	7822.9
65	Spectrogram 1	1	3.701858057	3.710433485	0.0	7822.9
66	Waveform 1	1	3.747593673	3.751404975	0.0	8487.1
66	Spectrogram 1	1	3.747593673	3.751404975	0.0	8487.1
67	Waveform 1	1	3.969601978	3.975318930	0.0	19852.4
67	Spectrogram 1	1	3.969601978	3.975318930	0.0	19852.4
68	Waveform 1	1	3.990564135	3.996757500	0.0	19788.0
68	Spectrogram 1	1	3.990564135	3.996757500	0.0	19788.0
69	Waveform 1	1	4.157301644	4.161589358	0.0	19576.0
69	Spectrogram 1	1	4.157301644	4.161589358	0.0	19576.0
70	Waveform 1	1	4.180645865	4.185409991	0.0	19717.3
70	Spectrogram 1	1	4.180645865	4.185409991	0.0	19717.3
71	Waveform 1	1	4.235909734	4.241150274	0.0	7632.5
71	Spectrogram 1	1	4.235909734	4.241150274	0.0	7632.5
72	Waveform 1	1	4.193032594	4.198273133	0.0	7067.1
72	Spectrogram 1	1	4.193032594	4.198273133	0.0	7067.1
73	Waveform 1	1	4.333574332	4.339291284	0.0	19733.3
73	Spectrogram 1	1	4.333574332	4.339291284	0.0	19733.3
74	Waveform 1	1	4.361206267	4.368352457	0.0	19866.7
74	Spectrogram 1	1	4.361206267	4.368352457	0.0	19866.7
75	Waveform 1	1	4.404559820	4.409323947	0.0	11866.7
75	Spectrogram 1	1	4.404559820	4.409323947	0.0	11866.7
76	Waveform 1	1	4.437908707	4.444102072	0.0	12133.3
76	Spectrogram 1	1	4.437908707	4.444102072	0.0	12133.3
77	Waveform 1	1	4.456488801	4.461252928	0.0	19600.0
77	Spectrogram 1	1	4.456488801	4.461252928	0.0	19600.0
78	Waveform 1	1	4.477450959	4.485073562	0.0	19800.0
78	Spectrogram 1	1	4.477450959	4.485073562	0.0	19800.0
79	Waveform 1	1	4.668249116	4.672536830	0.0	19866.7
79	Spectrogram 1	1	4.668249116	4.672536830	0.0	19866.7
80	Waveform 1	1	4.680159432	4.685876384	0.0	17533.3
80	Spectrogram 1	1	4.680159432	4.685876384	0.0	17533.3
81	Waveform 1	1	4.693022574	4.696833876	0.0	19733.3
81	Spectrogram 1	1	4.693022574	4.696833876	0.0	19733.3
82	Waveform 1	1	4.721607335	4.731135588	1400.0	9600.0
82	Spectrogram 1	1	4.721607335	4.731135588	1400.0	9600.0
83	Waveform 1	1	4.942662814	4.950761830	0.0	19533.3
83	Spectrogram 1	1	4.942662814	4.950761830	0.0	19533.3
84	Waveform 1	1	4.963148559	4.974582463	0.0	19866.7
84	Spectrogram 1	1	4.963148559	4.974582463	0.0	19866.7
85	Waveform 1	1	5.154866114	5.160106654	0.0	19666.7
85	Spectrogram 1	1	5.154866114	5.160106654	0.0	19666.7
86	Waveform 1	1	5.166776431	5.173922621	0.0	19666.7
86	Spectrogram 1	1	5.166776431	5.173922621	0.0	19666.7
87	Waveform 1	1	5.183927287	5.190120652	0.0	19800.0
87	Spectrogram 1	1	5.183927287	5.190120652	0.0	19800.0
88	Waveform 1	1	5.193455541	5.197743255	0.0	19931.7
88	Spectrogram 1	1	5.193455541	5.197743255	0.0	19931.7
89	Waveform 1	1	5.209653572	5.213941286	2662.1	10921.5
89	Spectrogram 1	1	5.209653572	5.213941286	2662.1	10921.5
90	Waveform 1	1	5.226328015	5.232044967	0.0	8805.5
90	Spectrogram 1	1	5.226328015	5.232044967	0.0	8805.5
91	Waveform 1	1	5.260153315	5.267299505	0.0	11126.3
91	Spectrogram 1	1	5.260153315	5.267299505	0.0	11126.3
92	Waveform 1	1	5.425468512	5.431661876	0.0	19795.2
92	Spectrogram 1	1	5.425468512	5.431661876	0.0	19795.2
93	Waveform 1	1	5.445477844	5.452147621	0.0	19795.2
93	Spectrogram 1	1	5.445477844	5.452147621	0.0	19795.2
94	Waveform 1	1	5.646636918	5.654259521	0.0	14880.5
94	Spectrogram 1	1	5.646636918	5.654259521	0.0	14880.5
95	Waveform 1	1	5.663787774	5.669504726	0.0	19931.7
95	Spectrogram 1	1	5.663787774	5.669504726	0.0	19931.7
96	Waveform 1	1	5.688084820	5.697136661	0.0	19180.9
96	Spectrogram 1	1	5.688084820	5.697136661	0.0	19180.9
97	Waveform 1	1	5.828626558	5.839584050	2389.1	12150.2
97	Spectrogram 1	1	5.828626558	5.839584050	2389.1	12150.2
98	Waveform 1	1	5.870074461	5.881984778	3686.0	13037.5
98	Spectrogram 1	1	5.870074461	5.881984778	3686.0	13037.5
99	Waveform 1	1	5.892942269	5.900088459	0.0	19795.2
99	Spectrogram 1	1	5.892942269	5.900088459	0.0	19795.2
100	Waveform 1	1	5.911522363	5.922956267	136.5	19931.7
100	Spectrogram 1	1	5.911522363	5.922956267	136.5	19931.7
101	Waveform 1	1	5.956781567	5.962974932	0.0	19658.7
101	Spectrogram 1	1	5.956781567	5.962974932	0.0	19658.7
102	Waveform 1	1	5.984413502	5.995370993	0.0	19044.4
102	Spectrogram 1	1	5.984413502	5.995370993	0.0	19044.4
103	Waveform 1	1	6.027767055	6.033007594	0.0	11740.6
103	Spectrogram 1	1	6.027767055	6.033007594	0.0	11740.6
104	Waveform 1	1	6.061592355	6.070644195	409.6	12491.5
104	Spectrogram 1	1	6.061592355	6.070644195	409.6	12491.5
105	Waveform 1	1	6.114474161	6.122096764	68.3	13174.1
105	Spectrogram 1	1	6.114474161	6.122096764	68.3	13174.1
106	Waveform 1	1	6.159256952	6.170214444	0.0	9283.3
106	Spectrogram 1	1	6.159256952	6.170214444	0.0	9283.3
107	Waveform 1	1	6.239524368	6.243812082	136.5	19590.4
107	Spectrogram 1	1	6.239524368	6.243812082	136.5	19590.4
108	Waveform 1	1	6.263345001	6.270967604	0.0	16041.0
108	Spectrogram 1	1	6.263345001	6.270967604	0.0	16041.0
109	Waveform 1	1	6.372919916	6.381018931	477.8	19112.6
109	Spectrogram 1	1	6.372919916	6.381018931	477.8	19112.6
110	Waveform 1	1	6.393405660	6.401504676	0.0	18839.6
110	Spectrogram 1	1	6.393405660	6.401504676	0.0	18839.6
111	Waveform 1	1	6.404839565	6.413414993	2593.9	10716.7
111	Spectrogram 1	1	6.404839565	6.413414993	2593.9	10716.7
112	Waveform 1	1	6.445811054	6.463438323	3549.5	12354.9
112	Spectrogram 1	1	6.445811054	6.463438323	3549.5	12354.9
113	Waveform 1	1	6.595404633	6.602550823	0.0	14334.5
113	Spectrogram 1	1	6.595404633	6.602550823	0.0	14334.5
114	Waveform 1	1	6.638758186	6.648286440	546.1	11535.8
114	Spectrogram 1	1	6.638758186	6.648286440	546.1	11535.8
115	Waveform 1	1	6.676871200	6.683540977	477.8	19863.5
115	Spectrogram 1	1	6.676871200	6.683540977	477.8	19863.5
116	Waveform 1	1	6.704979547	6.713554975	0.0	19727.0
116	Spectrogram 1	1	6.704979547	6.713554975	0.0	19727.0
117	Waveform 1	1	6.748809513	6.754050053	819.1	11126.3
117	Spectrogram 1	1	6.748809513	6.754050053	819.1	11126.3
118	Waveform 1	1	6.783111225	6.788828178	0.0	11945.4
118	Spectrogram 1	1	6.783111225	6.788828178	0.0	11945.4
119	Waveform 1	1	6.863883940	6.870077304	614.3	19658.7
119	Spectrogram 1	1	6.863883940	6.870077304	614.3	19658.7
120	Waveform 1	1	6.884369684	6.894374351	0.0	19795.2
120	Spectrogram 1	1	6.884369684	6.894374351	0.0	19795.2
121	Waveform 1	1	6.905331842	6.910095969	0.0	19180.9
121	Spectrogram 1	1	6.905331842	6.910095969	0.0	19180.9
122	Waveform 1	1	6.929152476	6.934869428	1092.2	18430.0
122	Spectrogram 1	1	6.929152476	6.934869428	1092.2	18430.0
